timestep,charge_level,psiL_am,psiT_am,ampL_am,ampT_am,freq_rHz
1,2.000000,0.006153,0.000000,0.000431,0.000000,0.000000
2,2.000000,0.010246,0.000000,0.000834,0.000000,0.000000
3,2.000000,0.017888,0.000000,0.001499,0.000000,0.000000
4,2.000000,0.014650,0.000000,0.001801,0.000000,0.000000
5,2.000000,0.003283,0.000000,0.001793,0.000000,0.000000
6,2.000000,-0.004918,0.000000,0.001804,0.000000,0.000000
7,2.000000,-0.027494,0.000000,0.002622,0.000000,0.000000
8,2.000000,-0.031782,0.000000,0.003414,0.000000,0.000000
9,2.000000,-0.038054,0.000000,0.004297,0.000000,0.000000
10,0.000000,-0.031751,0.000000,0.004790,0.000000,0.000000
11,0.000000,-0.032221,0.000000,0.005241,0.000000,0.000000
12,0.000000,-0.021788,0.000000,0.005395,0.000000,0.000000
13,0.000000,-0.024550,0.000000,0.005598,0.000000,0.000000
14,0.000000,-0.015718,0.000000,0.005637,0.000000,0.000000
15,0.000000,-0.000708,0.000000,0.005567,0.000000,0.000000
16,0.000000,0.011594,0.000000,0.005557,0.000000,0.000795
17,0.000000,0.033810,0.000000,0.005976,0.000000,0.000787
18,0.000000,0.040637,0.000000,0.006552,0.000000,0.000780
19,0.000000,0.049035,0.000000,0.007324,0.000000,0.000772
20,0.000000,0.043598,0.000000,0.007850,0.000000,0.000764
21,0.000000,0.031782,0.000000,0.008065,0.000000,0.000756
22,0.000000,0.007576,0.000000,0.007982,0.000000,0.000749
23,0.000000,-0.006543,0.000000,0.007896,0.000000,0.000741
24,0.000000,-0.028304,0.000000,0.008045,0.000000,0.000734
25,0.000000,-0.038731,0.000000,0.008395,0.000000,0.000727
26,0.000000,-0.038599,0.000000,0.008719,0.000000,0.000719
27,0.000000,-0.027158,0.000000,0.008818,0.000000,0.000712
28,0.000000,-0.021131,0.000000,0.008833,0.000000,0.000705
29,0.000000,-0.002752,0.000000,0.008724,0.000000,0.000698
30,0.000000,0.002042,0.000000,0.008617,0.000000,0.001509
31,0.000000,0.006126,0.000000,0.008520,0.000000,0.001493
32,0.000000,-0.003554,0.000000,0.008417,0.000000,0.001479
33,0.000000,-0.008692,0.000000,0.008335,0.000000,0.001464
34,0.000000,-0.028803,0.000000,0.008474,0.000000,0.001449
35,0.000000,-0.028593,0.000000,0.008604,0.000000,0.001435
36,0.000000,-0.033275,0.000000,0.008810,0.000000,0.001420
37,0.000000,-0.024144,0.000000,0.008863,0.000000,0.001406
38,0.000000,-0.001662,0.000000,0.008753,0.000000,0.001392
39,0.000000,0.033886,0.000000,0.008964,0.000000,0.002635
40,0.000000,0.050058,0.000000,0.009520,0.000000,0.002608
41,0.000000,0.079858,0.000000,0.010938,0.000000,0.002582
42,0.000000,0.080845,0.000000,0.012194,0.000000,0.002557
43,0.000000,0.074724,0.000000,0.013129,0.000000,0.002531
44,0.000000,0.044889,0.000000,0.013341,0.000000,0.002506
45,0.000000,0.020887,0.000000,0.013255,0.000000,0.002481
46,0.000000,-0.025073,0.000000,0.013207,0.000000,0.002456
47,0.000000,-0.045299,0.000000,0.013422,0.000000,0.002431
48,0.000000,-0.070487,0.000000,0.014143,0.000000,0.002407
49,0.000000,-0.075047,0.000000,0.014922,0.000000,0.002383
50,0.000000,-0.059327,0.000000,0.015310,0.000000,0.002359
51,0.000000,-0.027082,0.000000,0.015237,0.000000,0.002335
52,0.000000,-0.017266,0.000000,0.015096,0.000000,0.002312
53,0.000000,0.007481,0.000000,0.014917,0.000000,0.003027
54,0.000000,0.009642,0.000000,0.014746,0.000000,0.002996
55,0.000000,-0.004898,0.000000,0.014566,0.000000,0.002966
56,0.000000,-0.008444,0.000000,0.014396,0.000000,0.002937
57,0.000000,-0.048124,0.000000,0.014610,0.000000,0.002907
58,0.000000,-0.081693,0.000000,0.015520,0.000000,0.002878
59,0.000000,-0.067492,0.000000,0.016038,0.000000,0.002850
60,0.000002,-0.047035,0.000000,0.016177,0.000000,0.002821
61,0.000002,-0.010151,0.000000,0.015991,0.000000,0.002793
62,0.000002,0.073426,0.000000,0.016607,0.000000,0.003952
63,0.000002,0.112524,0.000000,0.018193,0.000000,0.003913
64,0.000002,0.202461,0.000000,0.022883,0.000000,0.003874
65,0.000002,0.255552,0.000000,0.028822,0.000000,0.003835
66,0.000002,0.231060,0.000000,0.032737,0.000000,0.003797
67,0.000002,0.171054,0.000000,0.034475,0.000000,0.003759
68,0.000002,0.096875,0.000000,0.034714,0.000000,0.003721
69,0.000002,-0.059540,0.000000,0.034533,0.000000,0.003684
70,0.000002,-0.235406,0.000000,0.037875,0.000000,0.003647
71,0.000002,-0.300619,0.000000,0.042916,0.000000,0.003610
72,0.000002,-0.393252,0.000000,0.050537,0.000000,0.003574
73,0.000002,-0.386507,0.000000,0.056769,0.000000,0.003539
74,0.000002,-0.319448,0.000000,0.060356,0.000000,0.003503
75,0.000002,-0.236890,0.000000,0.061867,0.000000,0.003468
76,0.000002,-0.043727,0.000000,0.061172,0.000000,0.003434
77,0.000002,0.172614,0.000000,0.061605,0.000000,0.004025
78,0.000002,0.270572,0.000000,0.063717,0.000000,0.003984
79,0.000002,0.278006,0.000000,0.065863,0.000000,0.003945
80,0.000002,0.354454,0.000000,0.069613,0.000000,0.003905
81,0.000002,0.353373,0.000000,0.073060,0.000000,0.003866
82,0.000002,0.400175,0.000000,0.077396,0.000000,0.003827
83,0.000002,0.388056,0.000000,0.081114,0.000000,0.003789
84,0.000002,0.365410,0.000000,0.084087,0.000000,0.003751
85,0.000002,0.374516,0.000000,0.087079,0.000000,0.003714
86,0.000002,0.340205,0.000000,0.089229,0.000000,0.003677
87,0.000002,0.316212,0.000000,0.090854,0.000000,0.003640
88,0.000002,0.272613,0.000000,0.091727,0.000000,0.003603
89,0.000002,0.229418,0.000000,0.091995,0.000000,0.003567
90,0.000002,0.187230,0.000000,0.091788,0.000000,0.003532
91,0.000002,0.149439,0.000000,0.091244,0.000000,0.003496
92,0.000002,0.105015,0.000000,0.090405,0.000000,0.003461
93,0.000002,0.079081,0.000000,0.089448,0.000000,0.003427
94,0.000002,0.040990,0.000000,0.088379,0.000000,0.003393
95,0.000002,0.032459,0.000000,0.087306,0.000000,0.003359
96,0.000002,0.023694,0.000000,0.086232,0.000000,0.003325
97,0.000002,0.002785,0.000000,0.085156,0.000000,0.003292
98,0.000002,0.005945,0.000000,0.084095,0.000000,0.003259
99,0.000002,-0.009026,0.000000,0.083048,0.000000,0.003226
100,0.000002,0.000465,0.000000,0.082012,0.000000,0.003553
101,0.000002,-0.004035,0.000000,0.080989,0.000000,0.003517
102,0.000002,0.013678,0.000000,0.079984,0.000000,0.009273
103,0.000002,0.031464,0.000000,0.079017,0.000000,0.009181
104,0.000002,0.039460,0.000000,0.078079,0.000000,0.009089
105,0.000002,0.058237,0.000000,0.077213,0.000000,0.008998
106,0.000002,0.067285,0.000000,0.076395,0.000000,0.008908
107,0.000002,0.084457,0.000000,0.075673,0.000000,0.008819
108,0.000002,0.084122,0.000000,0.074960,0.000000,0.008731
109,0.000002,0.090725,0.000000,0.074297,0.000000,0.008643
110,0.000002,0.091207,0.000000,0.073647,0.000000,0.008557
111,0.000002,0.078111,0.000000,0.072933,0.000000,0.008471
112,0.000002,0.072824,0.000000,0.072203,0.000000,0.008387
113,0.000002,0.054146,0.000000,0.071403,0.000000,0.008303
114,0.000002,0.046653,0.000000,0.070588,0.000000,0.008220
115,0.000002,0.039277,0.000000,0.069761,0.000000,0.008138
116,0.000002,0.027829,0.000000,0.068918,0.000000,0.008056
117,0.000002,0.023708,0.000000,0.068079,0.000000,0.007976
118,0.000002,0.015145,0.000000,0.067237,0.000000,0.007896
119,0.000002,0.016407,0.000000,0.066408,0.000000,0.007817
120,0.000003,0.006030,0.000000,0.065581,0.000000,0.007739
121,0.000003,0.007027,0.000000,0.064765,0.000000,0.007661
122,0.000003,0.009039,0.000000,0.063960,0.000000,0.007585
123,0.000003,0.001076,0.000000,0.063162,0.000000,0.007509
124,0.000003,0.006755,0.000000,0.062375,0.000000,0.007434
125,0.000003,0.003294,0.000000,0.061597,0.000000,0.007359
126,0.000003,0.013250,0.000000,0.060836,0.000000,0.007286
127,0.000003,0.015549,0.000000,0.060087,0.000000,0.007213
128,0.000003,0.030306,0.000000,0.059375,0.000000,0.007141
129,0.000003,0.040150,0.000000,0.058701,0.000000,0.007069
130,0.000003,0.045860,0.000000,0.058057,0.000000,0.006999
131,0.000003,0.052469,0.000000,0.057451,0.000000,0.006929
132,0.000003,0.050379,0.000000,0.056843,0.000000,0.006859
133,0.000003,0.049250,0.000000,0.056240,0.000000,0.006791
134,0.000003,0.041386,0.000000,0.055613,0.000000,0.006723
135,0.000003,0.035594,0.000000,0.054976,0.000000,0.006656
136,0.000003,0.031846,0.000000,0.054336,0.000000,0.006589
137,0.000003,0.021249,0.000000,0.053678,0.000000,0.006523
138,0.000003,0.018767,0.000000,0.053025,0.000000,0.006458
139,0.000003,0.012922,0.000000,0.052371,0.000000,0.006393
140,0.000003,0.016805,0.000000,0.051731,0.000000,0.006330
141,0.000003,0.016821,0.000000,0.051099,0.000000,0.006266
142,0.000003,0.014442,0.000000,0.050471,0.000000,0.006204
143,0.000003,0.015276,0.000000,0.049853,0.000000,0.006142
144,0.000003,0.009085,0.000000,0.049235,0.000000,0.006080
145,0.000003,0.006972,0.000000,0.048623,0.000000,0.006019
146,0.000003,0.002003,0.000000,0.048017,0.000000,0.005959
147,0.000003,0.001770,0.000000,0.047418,0.000000,0.005900
148,0.000003,0.005426,0.000000,0.046828,0.000000,0.005841
149,0.000003,0.005290,0.000000,0.046245,0.000000,0.005782
150,0.000003,0.011955,0.000000,0.045675,0.000000,0.005724
151,0.000003,0.017253,0.000000,0.045122,0.000000,0.005667
152,0.000003,0.028802,0.000000,0.044604,0.000000,0.005610
153,0.000003,0.029855,0.000000,0.044097,0.000000,0.005554
154,0.000003,0.036555,0.000000,0.043622,0.000000,0.005499
155,0.000003,0.038729,0.000000,0.043163,0.000000,0.005444
156,0.000003,0.032526,0.000000,0.042685,0.000000,0.005389
157,0.000003,0.031254,0.000000,0.042209,0.000000,0.005335
158,0.000003,0.020207,0.000000,0.041707,0.000000,0.005282
159,0.000003,0.015305,0.000000,0.041200,0.000000,0.005229
160,0.000003,0.013409,0.000000,0.040697,0.000000,0.005177
161,0.000003,0.009831,0.000000,0.040195,0.000000,0.005125
162,0.000003,0.010412,0.000000,0.039700,0.000000,0.005074
163,0.000003,0.011513,0.000000,0.039213,0.000000,0.005023
164,0.000003,0.017455,0.000000,0.038743,0.000000,0.004973
165,0.000003,0.014170,0.000000,0.038272,0.000000,0.004923
166,0.000003,0.016162,0.000000,0.037812,0.000000,0.004874
167,0.000003,0.016261,0.000000,0.037357,0.000000,0.004825
168,0.000003,0.008644,0.000000,0.036896,0.000000,0.004777
169,0.000003,0.008610,0.000000,0.036441,0.000000,0.004729
170,0.000003,0.000729,0.000000,0.035986,0.000000,0.004682
171,0.000003,0.001154,0.000000,0.035537,0.000000,0.004635
172,0.000003,0.000293,0.000000,0.035094,0.000000,0.004589
173,0.000003,0.007982,0.000000,0.034660,0.000000,0.004543
174,0.000003,0.013465,0.000000,0.034241,0.000000,0.004497
